matchNumStr,matchKey,matchDate,homeTeam,awayTeam,homeTeamEn,awayTeamEn,homeTeamCode,awayTeamCode,homeTeamOddsName,awayTeamOddsName,score,code,sp
周一042,FRA-IRQ,2026-06-23,法国,伊拉克,France,Iraq,FRA,IRQ,法国,伊拉克,4:2,s04s02,60.00
周一042,FRA-IRQ,2026-06-23,法国,伊拉克,France,Iraq,FRA,IRQ,法国,伊拉克,5:0,s05s00,10.00
周一042,FRA-IRQ,2026-06-23,法国,伊拉克,France,Iraq,FRA,IRQ,法国,伊拉克,5:1,s05s01,18.00
周一042,FRA-IRQ,2026-06-23,法国,伊拉克,France,Iraq,FRA,IRQ,法国,伊拉克,5:2,s05s02,70.00
周一042,FRA-IRQ,2026-06-23,法国,伊拉克,France,Iraq,FRA,IRQ,法国,伊拉克,负其他,s1sa,700.0
周一042,FRA-IRQ,2026-06-23,法国,伊拉克,France,Iraq,FRA,IRQ,法国,伊拉克,平其他,s1sd,700.0
周一042,FRA-IRQ,2026-06-23,法国,伊拉克,France,Iraq,FRA,IRQ,法国,伊拉克,胜其他,s1sh,6.50
周一043,NOR-SEN,2026-06-23,挪威,塞内加尔,Norway,Senegal,NOR,SEN,挪威,塞内加尔,0:0,s00s00,11.00
周一043,NOR-SEN,2026-06-23,挪威,塞内加尔,Norway,Senegal,NOR,SEN,挪威,塞内加尔,0:1,s00s01,10.00
周一043,NOR-SEN,2026-06-23,挪威,塞内加尔,Norway,Senegal,NOR,SEN,挪威,塞内加尔,0:2,s00s02,16.50
周一043,NOR-SEN,2026-06-23,挪威,塞内加尔,Norway,Senegal,NOR,SEN,挪威,塞内加尔,0:3,s00s03,40.00
周一043,NOR-SEN,2026-06-23,挪威,塞内加尔,Norway,Senegal,NOR,SEN,挪威,塞内加尔,0:4,s00s04,120.0
周一043,NOR-SEN,2026-06-23,挪威,塞内加尔,Norway,Senegal,NOR,SEN,挪威,塞内加尔,0:5,s00s05,400.0
周一043,NOR-SEN,2026-06-23,挪威,塞内加尔,Norway,Senegal,NOR,SEN,挪威,塞内加尔,1:0,s01s00,7.75
周一043,NOR-SEN,2026-06-23,挪威,塞内加尔,Norway,Senegal,NOR,SEN,挪威,塞内加尔,1:1,s01s01,6.00
周一043,NOR-SEN,2026-06-23,挪威,塞内加尔,Norway,Senegal,NOR,SEN,挪威,塞内加尔,1:2,s01s02,10.50
周一043,NOR-SEN,2026-06-23,挪威,塞内加尔,Norway,Senegal,NOR,SEN,挪威,塞内加尔,1:3,s01s03,25.00
周一043,NOR-SEN,2026-06-23,挪威,塞内加尔,Norway,Senegal,NOR,SEN,挪威,塞内加尔,1:4,s01s04,90.00
周一043,NOR-SEN,2026-06-23,挪威,塞内加尔,Norway,Senegal,NOR,SEN,挪威,塞内加尔,1:5,s01s05,350.0
周一043,NOR-SEN,2026-06-23,挪威,塞内加尔,Norway,Senegal,NOR,SEN,挪威,塞内加尔,2:0,s02s00,10.00
周一043,NOR-SEN,2026-06-23,挪威,塞内加尔,Norway,Senegal,NOR,SEN,挪威,塞内加尔,2:1,s02s01,6.75
周一043,NOR-SEN,2026-06-23,挪威,塞内加尔,Norway,Senegal,NOR,SEN,挪威,塞内加尔,2:2,s02s02,11.50
周一043,NOR-SEN,2026-06-23,挪威,塞内加尔,Norway,Senegal,NOR,SEN,挪威,塞内加尔,2:3,s02s03,35.00
周一043,NOR-SEN,2026-06-23,挪威,塞内加尔,Norway,Senegal,NOR,SEN,挪威,塞内加尔,2:4,s02s04,100.0
周一043,NOR-SEN,2026-06-23,挪威,塞内加尔,Norway,Senegal,NOR,SEN,挪威,塞内加尔,2:5,s02s05,400.0
周一043,NOR-SEN,2026-06-23,挪威,塞内加尔,Norway,Senegal,NOR,SEN,挪威,塞内加尔,3:0,s03s00,20.00
周一043,NOR-SEN,2026-06-23,挪威,塞内加尔,Norway,Senegal,NOR,SEN,挪威,塞内加尔,3:1,s03s01,13.00
周一043,NOR-SEN,2026-06-23,挪威,塞内加尔,Norway,Senegal,NOR,SEN,挪威,塞内加尔,3:2,s03s02,23.00
周一043,NOR-SEN,2026-06-23,挪威,塞内加尔,Norway,Senegal,NOR,SEN,挪威,塞内加尔,3:3,s03s03,45.00
周一043,NOR-SEN,2026-06-23,挪威,塞内加尔,Norway,Senegal,NOR,SEN,挪威,塞内加尔,4:0,s04s00,60.00
周一043,NOR-SEN,2026-06-23,挪威,塞内加尔,Norway,Senegal,NOR,SEN,挪威,塞内加尔,4:1,s04s01,40.00
